,MDA_rank,MDI_rank,SFI_rank,CFI_rank,mean_rank
AMGN_KCBe_40_3.0,596,1680,106,112,623.5
PYPL_DCM_40_40,624,1446,313,114,624.25
QQQ_SUPERTl_14_4.0,788,374,156,1179,624.25
MDLZ_WILLR_14,143,116,1421,823,625.75
NFLX_ADOSC_5_17,253,650,1520,87,627.5
CSCO_FISHERTs_18_1,358,507,1216,436,629.25
TXN_ISA_18,770,718,339,691,629.5
NFLX_KAMA_10_2_30,814,1089,512,103,629.5
PEP_KCLe_40_3.0,25,291,659,1546,630.25
QCOM_CCI_20_0.015,294,805,1275,147,630.25
CSCO_FISHERT_18_1,201,675,1208,437,630.25
NFLX_KCLe_40_3.0,1416,615,400,96,631.75
META_low,57,375,470,1626,632.0
GOOGL_SQZ_20_2.0_20_1.5,149,360,927,1093,632.25
NVDA_volume,163,118,1225,1024,632.5
MDLZ_VWMA_50,117,1005,618,791,632.75
NFLX_KCUe_40_3.0,840,1072,526,94,633.0
MDLZ_DMP_28,129,493,1125,786,633.25
MDLZ_high,618,573,544,799,633.5
COST_CMF_30,38,191,936,1372,634.25
ISRG_VWMA_50,383,1335,263,556,634.25
QCOM_CMF_30,98,91,1579,770,634.5
NFLX_PSARs_0.02_0.2,810,1099,520,109,634.5
INTC_KCUe_40_3.0,754,965,435,384,634.5
QCOM_STOCHk_28_6_3,485,654,1255,145,634.75
INTC_ITS_18,480,1184,527,352,635.75
AMGN_MACDh_24_52_18,190,643,1707,6,636.5
PYPL_WMA_50,648,1373,314,211,636.5
TXN_RVI_14,230,137,1463,717,636.75
PYPL_HMA_50,664,1374,297,222,639.25
INTC_low,734,907,491,428,640.0
ISRG_LDECAY_10,849,985,253,475,640.5
PYPL_SUPERT_14_4.0,651,1355,351,205,640.5
BKNG_CG_10,152,182,1613,617,641.0
SBUX_UO_7_14_28,211,140,1328,889,642.0
AMZN_BBU_40_2.0,529,597,480,964,642.5
PYPL_DCU_40_40,623,1468,358,125,643.5
COST_ICS_52,157,852,223,1344,644.0
PYPL_IKS_52,652,1413,310,207,645.5
AVGO_low,194,123,574,1692,645.75
AMZN_ICS_52,459,563,308,1261,647.75
INTC_open,1650,33,481,430,648.5
GOOGL_OBV,51,937,507,1100,648.75
ADBE_VTXM_28,242,844,1234,277,649.25
TXN_ATRr_14,386,873,616,724,649.75
PYPL_KCUe_40_3.0,625,1512,335,128,650.0
AVGO_EOM_28_100000000,58,369,729,1447,650.75
CSCO_STOCHk_28_6_3,136,470,1743,256,651.25
PYPL_PSARs_0.02_0.2,684,1421,306,200,652.75
AMGN_DCU_40_40,593,1659,168,192,653.0
ADBE_ISA_18,572,1453,267,321,653.25
ISRG_ADOSC_5_17,91,892,1175,456,653.5
AMZN_SQZ_20_2.0_20_1.5,272,465,874,1003,653.5
INTC_NVI_255,706,1407,129,373,653.75
AMZN_VWAP_D,885,427,328,978,654.5
PYPL_KCBe_40_3.0,668,1517,307,129,655.25
GOOGL_UO_7_14_28,193,19,1304,1105,655.25
AMGN_DCL_40_40,595,1681,154,194,656.0
